DASYLab - V 13.00.00
Worksheet name: 1702_SF
Recording date     : 19-2-2025, 10:06:27
Block length       : 64
Delta              : 0.01 sec.
Number of channels : 3
Measurement time[hh:mm:ss];6 [V];7 [V];8 [V];
00:00:00,00;2,23;0,01;-1,67;
00:00:00,01;2,27;0,12;-1,65;
00:00:00,02;2,27;0,24;-1,62;
00:00:00,03;2,33;0,35;-1,60;
00:00:00,04;2,31;0,48;-1,56;
00:00:00,05;2,31;0,60;-1,53;
00:00:00,06;2,31;0,73;-1,49;
00:00:00,07;2,38;0,85;-1,45;
00:00:00,08;2,25;0,98;-1,40;
00:00:00,09;2,21;1,11;-1,35;
00:00:00,10;2,23;1,23;-1,30;
00:00:00,11;2,13;1,36;-1,24;
00:00:00,12;2,02;1,35;-1,18;
00:00:00,13;1,98;1,47;-1,12;
00:00:00,14;1,79;1,65;-1,05;
00:00:00,15;1,72;1,80;-0,98;
00:00:00,16;1,59;1,91;-0,90;
00:00:00,17;1,43;2,01;-0,82;
00:00:00,18;1,38;2,09;-0,73;
00:00:00,19;1,20;2,17;-0,64;
00:00:00,20;1,09;2,23;-0,55;
00:00:00,21;0,94;2,28;-0,45;
00:00:00,22;0,78;2,32;-0,36;
00:00:00,23;0,65;2,35;-0,25;
00:00:00,24;0,46;2,36;-0,15;
00:00:00,25;0,36;2,36;-0,05;
00:00:00,26;0,24;2,34;0,06;
00:00:00,27;0,15;2,31;0,18;
00:00:00,28;-0,00;2,27;0,29;
00:00:00,29;-0,17;2,21;0,41;
00:00:00,30;-0,26;2,14;0,53;
00:00:00,31;-0,30;2,06;0,66;
00:00:00,32;-0,41;1,97;0,78;
00:00:00,33;-0,52;1,86;0,90;
00:00:00,34;-0,62;1,76;1,03;
00:00:00,35;-0,67;1,64;1,15;
00:00:00,36;-0,72;1,52;1,27;
00:00:00,37;-0,85;1,39;1,39;
00:00:00,38;-0,97;1,26;1,50;
00:00:00,39;-1,01;1,13;1,61;
00:00:00,40;-1,08;0,99;1,72;
00:00:00,41;-1,15;0,86;1,82;
00:00:00,42;-1,23;0,72;1,91;
00:00:00,43;-1,35;0,58;1,99;
00:00:00,44;-1,47;0,44;2,07;
00:00:00,45;-1,54;0,31;2,14;
00:00:00,46;-1,53;0,18;2,20;
00:00:00,47;-1,64;0,05;2,24;
00:00:00,48;-1,64;-0,07;2,28;
00:00:00,49;-1,63;-0,17;2,30;
00:00:00,50;-1,76;-0,28;2,30;
00:00:00,51;-1,79;-0,37;2,30;
00:00:00,52;-1,80;-0,45;2,28;
00:00:00,53;-1,80;-0,53;2,25;
00:00:00,54;-1,93;-0,61;2,20;
00:00:00,55;-1,91;-0,69;2,14;
00:00:00,56;-1,98;-0,78;2,08;
00:00:00,57;-1,90;-0,88;1,99;
00:00:00,58;-1,94;-0,97;1,90;
00:00:00,59;-1,95;-1,07;1,80;
00:00:00,60;-2,04;-1,16;1,70;
00:00:00,61;-2,02;-1,24;1,58;
00:00:00,62;-2,02;-1,32;1,46;
00:00:00,63;-1,95;-1,39;1,34;
00:00:00,64;-1,95;-1,45;1,21;
00:00:00,65;-2,02;-1,50;1,08;
00:00:00,66;-2,00;-1,55;0,94;
00:00:00,67;-2,04;-1,59;0,81;
00:00:00,68;-1,99;-1,64;0,67;
00:00:00,69;-2,01;-1,68;0,53;
00:00:00,70;-1,99;-1,72;0,40;
00:00:00,71;-1,88;-1,75;0,27;
