DASYLab - V 13.00.00
Worksheet name: 1702_SF
Recording date     : 21-2-2025, 13:30:42
Block length       : 64
Delta              : 0.01 sec.
Number of channels : 3
Measurement time[hh:mm:ss];6 [V];7 [V];8 [V];
00:00:00,00;0,08;-0,04;-0,27;
00:00:00,01;0,02;-0,06;-0,29;
00:00:00,02;0,06;-0,09;-0,30;
00:00:00,03;0,03;-0,11;-0,31;
00:00:00,04;0,02;-0,14;-0,31;
00:00:00,05;0,04;-0,17;-0,31;
00:00:00,06;0,10;-0,20;-0,31;
00:00:00,07;0,09;-0,23;-0,31;
00:00:00,08;0,06;-0,26;-0,30;
00:00:00,09;0,05;-0,29;-0,29;
00:00:00,10;0,06;-0,33;-0,28;
00:00:00,11;0,02;-0,36;-0,26;
00:00:00,12;0,10;-0,39;-0,24;
00:00:00,13;0,03;-0,42;-0,23;
00:00:00,14;0,07;-0,45;-0,20;
00:00:00,15;0,07;-0,48;-0,18;
00:00:00,16;0,06;-0,50;-0,15;
00:00:00,17;0,08;-0,53;-0,13;
00:00:00,18;0,06;-0,55;-0,10;
00:00:00,19;0,06;-0,56;-0,07;
00:00:00,20;0,13;-0,57;-0,04;
00:00:00,21;0,09;-0,58;-0,01;
00:00:00,22;0,10;-0,58;0,02;
00:00:00,23;0,15;-0,58;0,05;
00:00:00,24;0,14;-0,58;0,08;
00:00:00,25;0,09;-0,57;0,11;
00:00:00,26;0,17;-0,56;0,13;
00:00:00,27;0,11;-0,55;0,16;
00:00:00,28;0,09;-0,53;0,18;
00:00:00,29;0,08;-0,51;0,21;
00:00:00,30;0,13;-0,49;0,23;
00:00:00,31;0,10;-0,47;0,24;
00:00:00,32;0,05;-0,44;0,26;
00:00:00,33;0,09;-0,41;0,27;
00:00:00,34;0,03;-0,39;0,27;
00:00:00,35;0,02;-0,36;0,28;
00:00:00,36;0,05;-0,33;0,28;
00:00:00,37;-0,02;-0,30;0,27;
00:00:00,38;-0,01;-0,27;0,27;
00:00:00,39;-0,07;-0,24;0,26;
00:00:00,40;-0,05;-0,21;0,25;
00:00:00,41;-0,11;-0,18;0,24;
00:00:00,42;-0,11;-0,15;0,22;
00:00:00,43;-0,12;-0,12;0,20;
00:00:00,44;-0,14;-0,10;0,19;
00:00:00,45;-0,15;-0,07;0,17;
00:00:00,46;-0,09;-0,05;0,15;
00:00:00,47;-0,17;-0,03;0,13;
00:00:00,48;-0,09;-0,01;0,12;
00:00:00,49;-0,14;0,01;0,10;
00:00:00,50;-0,16;0,03;0,09;
00:00:00,51;-0,12;0,05;0,08;
00:00:00,52;-0,07;0,06;0,07;
00:00:00,53;-0,12;0,08;0,06;
00:00:00,54;-0,06;0,09;0,06;
00:00:00,55;-0,09;0,10;0,05;
00:00:00,56;-0,03;0,11;0,06;
00:00:00,57;-0,08;0,12;0,06;
00:00:00,58;-0,05;0,13;0,06;
00:00:00,59;0,04;0,14;0,07;
00:00:00,60;-0,02;0,15;0,09;
00:00:00,61;0,06;0,17;0,10;
00:00:00,62;0,06;0,17;0,11;
00:00:00,63;0,07;0,19;0,13;
00:00:00,64;0,14;0,20;0,15;
00:00:00,65;0,09;0,21;0,17;
00:00:00,66;0,11;0,22;0,19;
00:00:00,67;0,15;0,23;0,22;
00:00:00,68;0,17;0,24;0,24;
00:00:00,69;0,20;0,25;0,26;
00:00:00,70;0,23;0,26;0,29;
00:00:00,71;0,22;0,27;0,31;
00:00:00,72;0,29;0,28;0,33;
00:00:00,73;0,25;0,29;0,35;
00:00:00,74;0,29;0,29;0,37;
00:00:00,75;0,34;0,29;0,39;
00:00:00,76;0,35;0,30;0,41;
00:00:00,77;0,30;0,30;0,43;
00:00:00,78;0,30;0,30;0,44;
00:00:00,79;0,34;0,30;0,46;
00:00:00,80;0,36;0,30;0,47;
00:00:00,81;0,34;0,30;0,48;
00:00:00,82;0,38;0,29;0,49;
00:00:00,83;0,43;0,29;0,50;
00:00:00,84;0,43;0,28;0,50;
00:00:00,85;0,39;0,28;0,51;
00:00:00,86;0,42;0,27;0,51;
00:00:00,87;0,46;0,26;0,51;
00:00:00,88;0,48;0,25;0,51;
00:00:00,89;0,48;0,25;0,51;
00:00:00,90;0,50;0,24;0,50;
00:00:00,91;0,52;0,24;0,50;
00:00:00,92;0,49;0,23;0,49;
00:00:00,93;0,54;0,23;0,48;
00:00:00,94;0,55;0,23;0,47;
00:00:00,95;0,51;0,23;0,45;
00:00:00,96;0,57;0,22;0,43;
00:00:00,97;0,57;0,23;0,42;
00:00:00,98;0,58;0,23;0,39;
00:00:00,99;0,57;0,23;0,37;
00:00:01,00;0,52;0,24;0,35;
00:00:01,01;0,56;0,24;0,33;
00:00:01,02;0,53;0,24;0,30;
00:00:01,03;0,57;0,25;0,28;
00:00:01,04;0,57;0,25;0,25;
00:00:01,05;0,58;0,25;0,23;
00:00:01,06;0,52;0,25;0,20;
00:00:01,07;0,52;0,26;0,18;
00:00:01,08;0,58;0,25;0,16;
00:00:01,09;0,58;0,26;0,13;
00:00:01,10;0,56;0,25;0,11;
00:00:01,11;0,57;0,25;0,09;
00:00:01,12;0,50;0,24;0,07;
00:00:01,13;0,54;0,23;0,05;
00:00:01,14;0,52;0,22;0,02;
00:00:01,15;0,51;0,20;0,00;
00:00:01,16;0,52;0,19;-0,02;
00:00:01,17;0,51;0,17;-0,05;
00:00:01,18;0,50;0,15;-0,07;
00:00:01,19;0,53;0,14;-0,10;
00:00:01,20;0,56;0,12;-0,12;
00:00:01,21;0,49;0,10;-0,15;
00:00:01,22;0,48;0,08;-0,18;
00:00:01,23;0,54;0,06;-0,20;
00:00:01,24;0,50;0,04;-0,23;
00:00:01,25;0,47;0,03;-0,25;
00:00:01,26;0,53;0,01;-0,27;
00:00:01,27;0,46;-0,00;-0,29;
00:00:01,28;0,51;-0,02;-0,31;
00:00:01,29;0,51;-0,03;-0,32;
00:00:01,30;0,45;-0,05;-0,34;
00:00:01,31;0,43;-0,06;-0,34;
00:00:01,32;0,46;-0,07;-0,35;
00:00:01,33;0,47;-0,08;-0,35;
00:00:01,34;0,40;-0,10;-0,35;
00:00:01,35;0,42;-0,11;-0,35;
00:00:01,36;0,40;-0,12;-0,35;
00:00:01,37;0,44;-0,12;-0,34;
00:00:01,38;0,37;-0,14;-0,33;
00:00:01,39;0,35;-0,14;-0,32;
00:00:01,40;0,33;-0,15;-0,30;
00:00:01,41;0,30;-0,15;-0,29;
00:00:01,42;0,29;-0,16;-0,27;
00:00:01,43;0,27;-0,16;-0,25;
00:00:01,44;0,30;-0,16;-0,24;
00:00:01,45;0,23;-0,16;-0,22;
00:00:01,46;0,25;-0,16;-0,20;
00:00:01,47;0,16;-0,16;-0,19;
00:00:01,48;0,20;-0,16;-0,17;
00:00:01,49;0,11;-0,16;-0,16;
00:00:01,50;0,08;-0,16;-0,15;
00:00:01,51;0,06;-0,16;-0,14;
00:00:01,52;0,09;-0,16;-0,13;
00:00:01,53;0,06;-0,16;-0,13;
00:00:01,54;0,02;-0,16;-0,13;
00:00:01,55;-0,03;-0,17;-0,13;
00:00:01,56;-0,08;-0,17;-0,13;
00:00:01,57;-0,08;-0,18;-0,13;
00:00:01,58;-0,12;-0,19;-0,14;
00:00:01,59;-0,13;-0,20;-0,15;
00:00:01,60;-0,13;-0,21;-0,15;
00:00:01,61;-0,10;-0,22;-0,16;
00:00:01,62;-0,14;-0,23;-0,16;
00:00:01,63;-0,17;-0,24;-0,17;
00:00:01,64;-0,16;-0,26;-0,17;
00:00:01,65;-0,11;-0,27;-0,17;
00:00:01,66;-0,17;-0,29;-0,17;
